term_id,term_str,n,num,stopwords,port_stem,pos_max,doc_freq,inverse_doc_freq,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,0,1,2,3
0,,337,0,0,,NNP,212,0.3151382495753481,0.006969473046002166,1.4775282857524592,0.006179181364222511,0.01750768053196378,0.0,0.0,0.0,0.0
1,a,735,0,1,a,DT,291,0.17758112151819225,0.004220075739011855,1.2280420400524499,0.0038604591634389617,0.011838741434546149,0.0,0.0,0.0,0.0
2,abash,1,0,0,abash,VB,1,2.6414741105040997,0.05503071063550208,0.05503071063550208,0.05503071063550208,0.05503071063550208,0.0,0.0,0.0,0.0
3,abasheth,1,0,0,abasheth,IN,1,2.6414741105040997,0.05503071063550208,0.05503071063550208,0.05503071063550208,0.05503071063550208,0.0,0.0,0.0,0.0
4,abashless,1,0,0,abashless,RB,1,2.6414741105040997,0.132073705525205,0.132073705525205,0.132073705525205,0.132073705525205,0.0,0.0,0.0,0.0
5,abbey,1,0,0,abbey,NNP,1,2.6414741105040997,0.04127303297662656,0.04127303297662656,0.04127303297662656,0.04127303297662656,0.0,0.0,0.0,0.0
6,abducted,1,0,0,abduct,VBN,1,2.6414741105040997,0.0660368527626025,0.0660368527626025,0.0660368527626025,0.0660368527626025,0.0,0.0,0.0,0.0
7,abhorred,1,0,0,abhor,VBD,1,2.6414741105040997,0.051793610009884306,0.051793610009884306,0.051793610009884306,0.051793610009884306,0.0,0.0,0.0,0.0
8,abide,2,0,0,abid,IN,2,2.3404441148401185,0.04184562705326704,0.08369125410653408,0.04184562705326704,0.048759252392502464,0.0,0.0,0.0,0.0
9,abides,1,0,0,abid,VBZ,1,2.6414741105040997,0.11484670045669998,0.11484670045669998,0.11484670045669998,0.11484670045669998,0.0,0.0,0.0,0.0
10,abode,4,0,0,abod,NN,4,2.0394141191761372,0.040628804388675874,0.1625152175547035,0.040388397262115655,0.04532031375946972,1.2457001973881692,2.254890121619701,1.2493556971337272,0.2500539838567908
11,about,8,0,1,about,IN,7,1.7963760704898426,0.03976901091383376,0.2783830763968363,0.031515369657716535,0.0945461089731496,0.0,0.0,0.0,0.0
12,above,7,0,1,abov,IN,7,1.7963760704898426,0.03942294054467655,0.27596058381273586,0.03454569366326621,0.08554171764237345,0.0,0.0,0.0,0.0
13,abroad,11,0,0,abroad,RB,10,1.6414741105040995,0.022126262671832063,0.22126262671832062,0.020017976957367067,0.03568421979356738,0.0,0.0,0.0,0.0
14,abrogate,1,0,0,abrog,VB,1,2.6414741105040997,0.032213098908586583,0.032213098908586583,0.032213098908586583,0.032213098908586583,0.0,0.0,0.0,0.0
15,absolute,2,0,0,absolut,JJ,2,2.3404441148401185,0.061976917326776654,0.12395383465355331,0.061976917326776654,0.06686983185257481,1.2499169907584566,0.25002845609237895,0.25003410582144225,0.25002044732719236
16,absorb,1,0,0,absorb,VB,1,2.6414741105040997,0.06289224072628809,0.06289224072628809,0.06289224072628809,0.06289224072628809,0.0,0.0,0.0,0.0
17,abstemiousness,1,0,0,abstemi,NN,1,2.6414741105040997,0.07769041501482646,0.07769041501482646,0.07769041501482646,0.07769041501482646,0.25003070063950006,1.2499200259162897,0.2500285506493202,0.2500207227943141
18,abstinence,2,0,0,abstin,NN,2,2.3404441148401185,0.05819137006842918,0.11638274013685836,0.05819137006842918,0.07801480382800395,0.250042830226941,0.25003794609588276,0.25003988493207,2.2498793387443334
19,abundant,1,0,0,abund,JJ,1,2.6414741105040997,0.058699424677868886,0.058699424677868886,0.058699424677868886,0.058699424677868886,0.0,0.0,0.0,0.0
20,abyss,2,0,0,abyss,NN,2,2.3404441148401185,0.042115134484073564,0.08423026896814713,0.042115134484073564,0.058511102871002967,1.249669321526751,0.2500403451403229,0.2500400935799517,1.2502502397516304
21,accent,1,0,0,accent,NN,1,2.6414741105040997,0.08254606595325312,0.08254606595325312,0.08254606595325312,0.08254606595325312,0.25002919761127196,0.25003110894820063,1.2499214265665228,0.2500182668734307
22,accented,1,0,0,accent,VBN,1,2.6414741105040997,0.02723169186086701,0.02723169186086701,0.02723169186086701,0.02723169186086701,0.0,0.0,0.0,0.0
23,accept,1,0,0,accept,VB,1,2.6414741105040997,0.08004467001527575,0.08004467001527575,0.08004467001527575,0.08004467001527575,0.0,0.0,0.0,0.0
24,accessible,1,0,0,access,JJ,1,2.6414741105040997,0.07139119217578649,0.07139119217578649,0.07139119217578649,0.07139119217578649,0.0,0.0,0.0,0.0
25,accident,1,0,0,accid,NN,1,2.6414741105040997,0.09108531415531378,0.09108531415531378,0.09108531415531378,0.09108531415531378,1.249900054961075,0.25003804233815397,0.2500363981226338,0.2500255045775924
26,accidental,1,0,0,accident,JJ,1,2.6414741105040997,0.08004467001527575,0.08004467001527575,0.08004467001527575,0.08004467001527575,0.0,0.0,0.0,0.0
27,accompanied,1,0,0,accompani,NNP,1,2.6414741105040997,0.020319031619262306,0.020319031619262306,0.020319031619262306,0.020319031619262306,0.0,0.0,0.0,0.0
28,accomplished,2,0,0,accomplish,JJ,2,2.3404441148401185,0.051325528834213124,0.10265105766842625,0.051325528834213124,0.061590634601055745,0.0,0.0,0.0,0.0
29,accost,1,0,0,accost,RP,1,2.6414741105040997,0.05390763490824693,0.05390763490824693,0.05390763490824693,0.05390763490824693,0.0,0.0,0.0,0.0
30,account,1,0,0,account,NN,1,2.6414741105040997,0.042604421137162896,0.042604421137162896,0.042604421137162896,0.042604421137162896,0.2500243415424578,0.2500219411586285,0.25002365395906323,1.2499300633390207
31,accustomed,3,0,0,accustom,JJ,3,2.164352855784437,0.03567239620724443,0.10701718862173329,0.020227596783032122,0.06763602674326366,0.0,0.0,0.0,0.0
32,achase,1,0,0,achas,NN,1,2.6414741105040997,0.04127303297662656,0.04127303297662656,0.04127303297662656,0.04127303297662656,0.25001675790257316,0.2500161599947489,0.2500156573970605,1.2499514247047958
33,aching,2,0,0,ach,NN,2,2.3404441148401185,0.05270333414158489,0.10540666828316977,0.05270333414158489,0.08668311536444882,0.25007282154639665,0.25006192384981124,0.2500750882390495,1.249790166363851
34,acknowledged,2,0,0,acknowledg,NNP,2,2.3404441148401185,0.07000435522066425,0.1400087104413285,0.07000435522066425,0.0731388785887537,0.0,0.0,0.0,0.0
35,acknowledgment,1,0,0,acknowledg,NN,1,2.6414741105040997,0.024686673929944856,0.024686673929944856,0.024686673929944856,0.024686673929944856,0.250024650087527,0.2500226698410147,0.2500225108823832,1.2499301691882443
36,acorn,1,0,0,acorn,NN,1,2.6414741105040997,0.07139119217578649,0.07139119217578649,0.07139119217578649,0.07139119217578649,0.25002885700822075,0.2500280778118173,1.2499248091317554,0.2500182560476329
37,acquaintance,1,0,0,acquaint,NNP,1,2.6414741105040997,0.028711675114174995,0.028711675114174995,0.028711675114174995,0.028711675114174995,0.0,0.0,0.0,0.0
38,acquaintances,1,0,0,acquaint,NNS,1,2.6414741105040997,0.09433836108943212,0.09433836108943212,0.09433836108943212,0.09433836108943212,0.2500328275991536,0.2500353025629688,1.2499072869614882,0.25002458287581353
39,acquainted,1,0,0,acquaint,VBD,1,2.6414741105040997,0.04192816048419206,0.04192816048419206,0.04192816048419206,0.04192816048419206,0.0,0.0,0.0,0.0
40,acquitted,1,0,0,acquit,NNP,1,2.6414741105040997,0.04634165106147543,0.04634165106147543,0.04634165106147543,0.04634165106147543,0.0,0.0,0.0,0.0
41,acre,4,0,0,acr,NN,4,2.0394141191761372,0.03994236503642423,0.15976946014569693,0.039162662433454815,0.058268974833603916,1.251101093736266,1.2500187936526734,0.2500571238806096,2.248822988728632
42,acres,2,0,0,acr,NNP,2,2.3404441148401185,0.03458162680469114,0.06916325360938227,0.03458162680469114,0.038367936308854406,0.2500188120120257,0.2500160196754737,1.249951664383512,0.25001350392842975
43,across,4,0,0,across,IN,4,2.0394141191761372,0.042414875824102145,0.16965950329640858,0.042775846991194404,0.05366879260989835,0.0,0.0,0.0,0.0
44,act,1,0,0,act,NN,1,2.6414741105040997,0.08004467001527575,0.08004467001527575,0.08004467001527575,0.08004467001527575,0.2500513339003288,1.249841154824648,0.25005478404232623,0.25005272723209665
